번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,GED11017-G00,"Exploring Industry, Ideology, and Identity through the Marvel Cinematic Universe",,45,Brian Daniel Arundel,3,화 09:00-10:15 (멀612) 목 09:00-10:15 (멀612),15,영어,영어강의,강의계획안 보기
2,GED11018-G00,Greek Mythology and Creative Writing,,45,이미선,3,화 15:00-16:15 (멀703) 목 15:00-16:15 (멀703),15,영어,,강의계획안 보기
3,GED1301-G00,가면의축제:동서양연희의문명사,,60,김동언,3,월 15:00-16:15 (멀312) 수 15:00-16:15 (멀312),15, ,,강의계획안 보기
4,GED1353-G00,고전과여성,,60,유재명,3,화 13:30-14:45 (멀826) 목 13:30-14:45 (멀826),15, ,,강의계획안 보기
5,GED1801-G00,고전읽기:그리스비극,,40,최재구,3,월 13:30-14:45 (멀406) 수 13:30-14:45 (멀406),15, ,,강의계획안 보기
6,GED1802-G00,고전읽기:김수영,,40,이선이,3,화 15:00-16:15 (멀608) 목 15:00-16:15 (멀608),15, ,,강의계획안 보기
7,GED1819-G00,고전읽기:프로이트,,40,민승기,3,금 09:00-11:45 (멀407),15, ,,강의계획안 보기
8,GED1820-G00,고전읽기:황순원,,40,오태호,3,금 09:00-11:45 (멀608),15, ,,강의계획안 보기
9,GED1603-G00,국화와칼:만들어진일본의전통,,60,김석희,3,화 12:00-13:15 (멀210) 목 12:00-13:15 (멀210),15, ,[2023 후마 우수강의],강의계획안 보기
10,GED1664-G00,그리스신화와철학,,45,김태경,3,월 09:00-10:15 (멀312) 수 09:00-10:15 (멀312),15, ,,강의계획안 보기
11,GED1996-G00,그림속의인문학,,60,김소희,3,화 12:00-14:45 (멀512),15, ,,강의계획안 보기
12,GED11026-G00,근대의시선과공간:뮤지엄과엑스포,,60,최석영,3,월 15:00-16:15 (멀826) 수 15:00-16:15 (멀826),15, ,[2023 후마 우수강의],강의계획안 보기
13,GED11021-G00,"글,그림그리고문화콘텐츠",,330,최윤희,3,(온라인),15, ,온라인강좌,강의계획안 보기
14,GED1861-G00,글로벌라틴아메리카,,60,송영복,3,화 12:00-13:15 (멀312) 목 12:00-13:15 (멀312),15, ,,강의계획안 보기
15,GED1862-G00,라틴아메리카문학과예술,,60,황수현,3,금 12:00-14:45 (멀411),15, ,,강의계획안 보기
16,GED1994-G00,라틴어와서구문명,,60,김태경,3,월 10:30-11:45 (멀112) 수 10:30-11:45 (멀112),15, ,,강의계획안 보기
17,GED1358-G00,명작에취하다:예술 감상법,,40,김부용,3,수 12:00-14:45 (멀B114),15, ,,강의계획안 보기
18,GED1337-G00,불교와정신분석학,,105,신은희,3,(온라인),15, ,온라인강좌,강의계획안 보기
19,GED1650-G00,삼국지인문학,,60,민관동,3,월 10:30-11:45 (멀411) 수 10:30-11:45 (멀411),15, ,,강의계획안 보기
20,GED1865-G00,수사학과영작문,,40,박현주,3,월 09:00-10:15 (멀608) 수 09:00-10:15 (멀608),15, ,,강의계획안 보기
21,GED1868-G00,언어와문학의이해,,60,이혜란,3,월 10:30-11:45 (멀513) 수 10:30-11:45 (멀513),15, ,,강의계획안 보기
22,GED1868-G01,언어와문학의이해,,150,이혜란,3,(온라인),15, ,"온라인강좌, 유학생전용강좌",강의계획안 보기
23,GED1657-G00,여행을통한인간의삶의가치증진,,60,윤병국,3,화 15:00-17:45 (멀612),15, ,,강의계획안 보기
24,GED1656-G00,영화로보는스포츠문화,,0,이선희,3,화 18:00-20:45 (멀206),15, ,체육부전용강좌,강의계획안 보기
25,GED1349-G00,영화와문학,,60,김활란,3,월 12:00-13:15 (멀704) 수 12:00-13:15 (멀704),15, ,,강의계획안 보기
26,GED1940-G00,예술치료의원리와실제,,50,신수정,3,목 09:00-11:45 (멀602),15, ,,강의계획안 보기
27,GED1324-G00,의미의탄생:언어,,60,이혜란,3,월 13:30-14:45 (멀513) 수 13:30-14:45 (멀513),15, ,,강의계획안 보기
28,GED1325-G00,인문학과문화콘텐츠,,160,김기국,3,(온라인),15, ,온라인강좌,강의계획안 보기
29,GED1739-G00,지구화시대의미학극장,,60,이은정,3,월 12:00-13:15 (멀826) 수 12:00-13:15 (멀826),15, ,,강의계획안 보기
30,GED1951-G00,패션디자인의세계,,60,이윤진,3,목 15:00-17:45 (멀210),15, ,,강의계획안 보기
31,GED1873-G00,하이쿠의세계,,60,김활란,3,월 10:30-11:45 (멀704) 수 10:30-11:45 (멀704),15, ,,강의계획안 보기
32,GED11024-G00,한국고전문학과영상,,60,최윤희,3,월 15:00-16:15 (멀513) 수 15:00-16:15 (멀513),15, ,,강의계획안 보기
