번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,GED11015-G00,만성질병과건강관리,,60,김지혜,3,월 13:30-14:45 (멀204) 수 13:30-14:45 (멀204),15, ,,강의계획안 보기
2,GED1104-G00,몸과생명,,60,홍정우,3,금 12:00-14:45 (멀210),15, ,,강의계획안 보기
3,GED1105-G00,몸의발견,,60,홍정우,3,화 12:00-13:15 (멀612) 목 12:00-13:15 (멀612),15, ,[2023 후마 우수강의],강의계획안 보기
4,GED1208-G00,불편한진실:기후변화,,60,이준호,3,금 09:00-11:45 (멀312),15, ,,강의계획안 보기
5,GED1106-G00,"생명,영원한블루오션",,60,이찬희,3,월 12:00-13:15 (멀411) 수 12:00-13:15 (멀411),15, ,생명과학대학 수강신청 제한,강의계획안 보기
6,GED1544-G00,생명의언어,,60,홍정우,3,월 12:00-13:15 (멀612) 수 12:00-13:15 (멀612),15, ,,강의계획안 보기
7,GED1990-G00,숨겨진패턴,,45,배재형,3,월 09:00-10:15 (멀408) 수 09:00-10:15 (멀408),15, ,,강의계획안 보기
8,GED11022-G00,숲과생활,,50,나희진,3,수 10:30-13:15 (멀204),15, ,,강의계획안 보기
9,GED1240-G00,우주:별을잊은그대에게,,60,장민환,3,월 10:30-11:45 (멀612) 수 10:30-11:45 (멀612),15, ,,강의계획안 보기
10,GED1240-G01,우주:별을잊은그대에게,,60,장민환,3,월 13:30-14:45 (멀612) 수 13:30-14:45 (멀612),15, ,유학생전용강좌,강의계획안 보기
11,GED1215-G00,원자의춤,,60,이영식,3,월 12:00-13:15 (멀210) 수 12:00-13:15 (멀210),15, ,,강의계획안 보기
12,GED1360-G00,인간행동의이해:심리학,,50,박정연,3,화 12:00-14:45 (멀608),15, ,,강의계획안 보기
13,GED1123-G00,인체와생명,,60,강희,3,화 15:00-16:15 (멀704) 목 15:00-16:15 (멀704),15, ,스포츠의학과 수강신청 제한,강의계획안 보기
14,GED1992-G00,전기와자기의만남,,240,박명진,3,(온라인),15, ,온라인강좌,강의계획안 보기
15,GED1119-G00,진화와인간본성,,310,전중환,3,(온라인),15, ,온라인강좌,강의계획안 보기
16,GED11027-G00,폭력의진화:통섭적관점,,60,우상권,3,금 09:00-11:45 (멀612),15, ,,강의계획안 보기
17,GED11027-G01,폭력의진화:통섭적관점,,60,우상권,3,금 13:30-16:15 (멀612),15,영어,영어강의,강의계획안 보기
18,GED1235-G00,하천문화의이해와르네상스,,60,김정수,3,월 10:30-11:45 (멀512) 수 10:30-11:45 (멀512),15, ,,강의계획안 보기
