"번호","학수번호-분반","강좌명","대상학년","정원","교수명","학점","강의시간/강의실","이수구분","언어구분","특이사항","강의계획서"
"1","GED1202-G00","고양이의물리학:자연계의숨은법칙","","60","김성","3","월 10:30-11:45 (멀312) 수 10:30-11:45 (멀312)","15"," ","","강의계획안 보기"
"2","GED1202-G01","고양이의물리학:자연계의숨은법칙","","60","손종역","3","화 13:30-14:45 (멀312) 목 13:30-14:45 (멀312)","15","영어","영어강의","강의계획안 보기"
"3","GED1466-G00","기술혁신과전략의융합","","60","김명섭","3","화 12:00-13:15 (멀411) 목 12:00-13:15 (멀411)","15"," ","","강의계획안 보기"
"4","GED1540-G00","기초 미분적분학","","50","최진혁","3","월 13:30-14:45 (멀107) 수 13:30-14:45 (멀107)","15"," ","","강의계획안 보기"
"5","GED1540-G01","기초 미분적분학","","60","최진혁","3","화 13:30-14:45 (멀403) 목 13:30-14:45 (멀403)","15"," ","유학생전용강좌","강의계획안 보기"
"6","GED11106-G00","설득의기술","","50","이예림","3","금 12:00-14:45 (멀602)","15"," ","2023 NEW 배분이수창작공모전 수상","강의계획안 보기"
"7","GED11012-G00","세상속의수학","","60","김경수","3","화 15:00-16:15 (멀411) 목 15:00-16:15 (멀411)","15"," ","","강의계획안 보기"
"8","GED1543-G00","수학과세상","","45","최진혁","3","화 09:00-10:15 (멀408) 목 09:00-10:15 (멀408)","15"," ","","강의계획안 보기"
"9","GED1543-G01","수학과세상","","45","최진혁","3","화 10:30-11:45 (멀408) 목 10:30-11:45 (멀408)","15"," ","유학생전용강좌","강의계획안 보기"
"10","GED11105-G00","이성의함정:마음은항상합리적인가","","56","홍석성","3","화 13:30-14:45 (멀704) 목 13:30-14:45 (멀704)","15"," ","","강의계획안 보기"
"11","GED1248-G00","큰맥락에서사고하기:시스템다이나믹스","","60","박명진","3","화 13:30-14:45 (멀513) 목 13:30-14:45 (멀513)","15"," ","","강의계획안 보기"
"12","GED1223-G00","특허와지적재산권","","70","공경식","3","화 15:00-16:15 (멀312) 목 15:00-16:15 (멀312)","15"," ","[2022 후마 우수강의]","강의계획안 보기"
