번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,AMTH3003-00,미분기하학,3,50,한창용,3.0,화 10:30-11:45 (전102) 목 10:30-11:45 (전102),4, ,,강의계획안 보기
2,AMTH4012-00,졸업논문(응용수학과),4,50,김경수,0.0,금 - (),4, ,,강의계획안 보기
3,AMTH2010-00,해석학1,2,45,박준표,3.0,월 09:00-10:15 (전101) 수 09:00-10:15 (전101),4, ,,강의계획안 보기
4,AMTH3013-00,현대대수학I,3,45,김정산,3.0,화 13:30-14:45 (전102) 목 13:30-14:45 (전102),4, ,,강의계획안 보기
5,AMTH3023-00,독립심화학습1(응용수학과),3,5,박준표,3.0,수 18:00-20:25 (전101),5, ,,강의계획안 보기
6,AMTH3029-00,복소함수및응용,3,35,박준표,3.0,월 10:30-11:45 (전101) 수 10:30-11:45 (전101),5,영어,,강의계획안 보기
7,AMTH2004-00,수리프로그래밍,2,20,김혜현,3.0,화 13:30-14:45 (전221) 목 13:30-14:45 (전221),5,영어(부분),,강의계획안 보기
8,AMTH2004-01,수리프로그래밍,2,20,김혜현,3.0,화 15:00-16:15 (전221) 목 15:00-16:15 (전221),5,영어(부분),,강의계획안 보기
9,AMTH3027-00,수치선형대수,3,35,김경수,3.0,화 12:00-13:15 (전101) 목 12:00-13:15 (전101),5, ,,강의계획안 보기
10,AMTH1010-00,응용선형대수특강,2,35,최선호,3.0,월 10:30-11:45 (전221) 수 10:30-11:45 (전221),5,영어,,강의계획안 보기
11,AMTH3022-00,응용수학 캡스톤디자인 2,3,20,김경수,3.0,화 09:00-10:15 (전101) 목 09:00-10:15 (전101),5, ,강의일시 변동 가능,강의계획안 보기
12,AMTH2015-00,이산수학,2,35,김경수,3.0,화 10:30-11:45 (전101) 목 10:30-11:45 (전101),5, ,,강의계획안 보기
13,AMTH4018-00,최적화이론,4,35,김정호,3.0,월 09:00-10:15 (전221) 수 09:00-10:15 (전221),5, ,,강의계획안 보기
14,AMTH2014-00,컴퓨터지원기하학적설계,2,60,한창용,3.0,화 16:30-17:45 (전102) 목 16:30-17:45 (전102),5, ,원격수업(중간/기말 대면시험),강의계획안 보기
15,AMTH3028-00,편미분방정식,4,35,김정호,3.0,월 10:30-11:45 (전102) 수 10:30-11:45 (전102),5, ,,강의계획안 보기
16,EDU3336-G00,교과교수법(수학),4,15,이경희,3.0,금 12:00-14:45 (전217),20, ,,강의계획안 보기
17,EDU3137-G00,교과교육론(수학),3,15,이경희,3.0,금 15:00-17:45 (전217),20, ,,강의계획안 보기
