"번호","학수번호-분반","강좌명","대상학년","정원","교수명","학점","강의시간/강의실","이수구분","언어구분","특이사항","강의계획서"
"1","GEC0103-G01","빅뱅에서문명까지","","50","최석호","3","월 09:00-10:15 (멀407) 수 09:00-10:15 (멀407)","14"," ","","강의계획안 보기"
"2","GEC0103-G02","빅뱅에서문명까지","","50","이상원","3","월 09:00-10:15 (멀406) 수 09:00-10:15 (멀406)","14"," ","팀티칭/대표교수 이상원","강의계획안 보기"
"3","GEC0103-G02","빅뱅에서문명까지","","50","이영식","3","월 09:00-10:15 (멀406) 수 09:00-10:15 (멀406)","14"," ","팀티칭/대표교수 이상원","강의계획안 보기"
"4","GEC0103-G03","빅뱅에서문명까지","","50","김광표","3","월 12:00-13:15 (멀407) 수 12:00-13:15 (멀407)","14"," ","","강의계획안 보기"
"5","GEC0103-G04","빅뱅에서문명까지","","50","최석호","3","월 15:00-16:15 (멀407) 수 15:00-16:15 (멀407)","14"," ","","강의계획안 보기"
"6","GEC0103-G05","빅뱅에서문명까지","","50","박지호","3","월 16:30-17:45 (멀407) 수 16:30-17:45 (멀407)","14"," ","","강의계획안 보기"
"7","GEC0103-G06","빅뱅에서문명까지","","50","이상원","3","화 10:30-11:45 (멀406) 목 10:30-11:45 (멀406)","14"," ","팀티칭강좌","강의계획안 보기"
"8","GEC0103-G06","빅뱅에서문명까지","","50","이영식","3","화 10:30-11:45 (멀406) 목 10:30-11:45 (멀406)","14"," ","팀티칭강좌","강의계획안 보기"
"9","GEC0103-G07","빅뱅에서문명까지","","40","박명진","3","화 10:30-11:45 (멀612) 목 10:30-11:45 (멀612)","14"," ","체육부전용강좌","강의계획안 보기"
"10","GEC0103-G08","빅뱅에서문명까지","","50","황은주","3","화 12:00-13:15 (멀407) 목 12:00-13:15 (멀407)","14"," ","","강의계획안 보기"
"11","GEC0103-G10","빅뱅에서문명까지","","50","강희","3","화 10:30-11:45 (멀407) 목 10:30-11:45 (멀407)","14"," ","","강의계획안 보기"
"12","GEC0103-G11","빅뱅에서문명까지","","50","김성","3","화 15:00-16:15 (멀407) 목 15:00-16:15 (멀407)","14"," ","","강의계획안 보기"
"13","GEC0103-G12","빅뱅에서문명까지","","50","맹성호","3","금 12:00-14:45 (멀407)","14","영어","영어강의","강의계획안 보기"
